"","Course_id","name","department","units","meeting","instructor","rating"
"53","456","Applied Physiology for Anesthesiologist Assistants I","ANES","3","TBA ","Daniel Mesaros",NA
"54","456","Applied Physiology for Anesthesiologist Assistants I","ANES","3","TBA ","Michael Altose",NA
"55","456","Applied Physiology for Anesthesiologist Assistants I","ANES","3","TBA ","Michael Altose",NA
"56","462","Anesthesia Clinical Correlation I","ANES","1","TBA ","Michael Altose",NA
"57","462","Anesthesia Clinical Correlation I","ANES","1","TBA ","Carie Twichell",NA
"58","462","Anesthesia Clinical Correlation I","ANES","1","TBA ","Alex Steed,Stephen Hunt",NA
"59","463","Anesthesia Clinical Experience I","ANES","3","TBA ","Daniel Pistone",NA
"60","463","Anesthesia Clinical Experience I","ANES","3","TBA ","Joseph Rifici",NA
"61","463","Anesthesia Clinical Experience I","ANES","3","TBA ","Kenneth Maloney",NA
"62","467","Anesthesia Clinical Experience III","ANES","4","TBA ","Shane Angus",NA
"63","468","Anesthesia Clinical Correlation III","ANES","1","TBA ","Joseph Rifici",NA
"64","468","Anesthesia Clinical Correlation III","ANES","1","TBA ","Carie Twichell",NA
"65","468","Anesthesia Clinical Correlation III","ANES","1","TBA ","Kenneth Maloney",NA
"66","469","Anesthesia Clinical Experience IV","ANES","8","TBA ","Daniel Pistone",NA
"67","469","Anesthesia Clinical Experience IV","ANES","8","TBA ","Joseph Rifici",NA
"68","469","Anesthesia Clinical Experience IV","ANES","8","TBA ","Kenneth Maloney",NA
"69","475","Pharmacology for Anesthesiologist Assistants I","ANES","3","TBA ","Shane Angus",NA
"70","475","Pharmacology for Anesthesiologist Assistants I","ANES","3","TBA ","Michael Altose",NA
"71","475","Pharmacology for Anesthesiologist Assistants I","ANES","3","TBA ","Michael Altose",NA
"72","477","Clinical Decision Making in Anesthesia","ANES","2","TBA ","Michael Altose",NA
"73","477","Clinical Decision Making in Anesthesia","ANES","2","TBA ","Zachary Barsman",NA
"74","477","Clinical Decision Making in Anesthesia","ANES","2","TBA ","Alex Steed,Stephen Hunt",NA
"75","480","Fundamentals of Anesthetic Sciences I","ANES","1","TBA ","Daniel Mesaros",NA
"76","480","Fundamentals of Anesthetic Sciences I","ANES","1","Tu 4:00 PM - 6:00 PM","Carie Twichell",NA
"77","480","Fundamentals of Anesthetic Sciences I","ANES","1","TBA ","Kenneth Maloney",NA
"78","486","Physiological Model-Based Simulation I","ANES","1","TBA ","Daniel Pistone",NA
"79","486","Physiological Model-Based Simulation I","ANES","1","TBA ","David Zagorski",NA
"80","486","Physiological Model-Based Simulation I","ANES","1","TBA ","Kenneth Maloney",NA
"81","488","Anesthesia Non-Technical Skills Lab","ANES","1","TBA ","Ashish Patel",NA
"82","488","Anesthesia Non-Technical Skills Lab","ANES","1","TBA ","David Zagorski",NA
"83","488","Anesthesia Non-Technical Skills Lab","ANES","1","TBA ","Alex Steed,Stephen Hunt",NA
"84","499","Clinical Remediation","ANES","10","TBA ","Daniel Mesaros",NA
"85","499","Clinical Remediation","ANES","10","TBA ","Joseph Rifici",NA
"86","499","Clinical Remediation","ANES","10","TBA ","Kenneth Maloney",NA
"87","580","Fundamentals of Anesthetic Sciences III","ANES","1","TBA ","Shane Angus",NA
"88","580","Fundamentals of Anesthetic Sciences III","ANES","1","W 4:00 PM - 6:00 PM","Carie Twichell",NA
"89","580","Fundamentals of Anesthetic Sciences III","ANES","1","TBA ","Kenneth Maloney",NA
"90","584","Physiological Model-Based Simulation III","ANES","1","TBA ","Daniel Pistone",NA
"91","584","Physiological Model-Based Simulation III","ANES","1","TBA ","David Zagorski",NA
"92","584","Physiological Model-Based Simulation III","ANES","1","TBA ","Kenneth Maloney",NA
"93","599","Clinical Remediation","ANES","10","TBA ","Ashish Patel",NA
"94","599","Clinical Remediation","ANES","10","TBA ","Joseph Rifici",NA
"95","599","Clinical Remediation","ANES","10","TBA ","Kenneth Maloney",NA
"96","102","Being Human: An Introduction to Social and Cultural Anthropology","ANTH","3","TBA ","Shane Angus",NA
"97","102","Being Human: An Introduction to Social and Cultural Anthropology","ANTH","3","MW 12:45 PM - 2:00 PM","Katia Almeida","4.6"
"98","103","Introduction to Human Evolution","ANTH","3","TuTh 1:00 PM - 2:15 PM","Melvyn Goldstein","3.0"
"99","107","Archaeology: An Introduction","ANTH","3","TuTh 10:00 AM - 11:15 AM","Lawrence Greksa","3.9"
"100","215","Health, Culture, and Disease: An Introduction to Medical Anthropology","ANTH","3","TuTh 10:00 AM - 11:15 AM","Jim Shaffer","3.4"
"101","302","Darwinian Medicine","ANTH","3","TuTh 10:00 AM - 11:15 AM","Sara Thiam","2.2"
"102","305","Child Policy","ANTH","3","TuTh 11:30 AM - 12:45 PM","Nicole Burt","2.5"
"103","308","Child Policy Externship","ANTH","3","MW 4:50 PM - 6:05 PM","Gabriella Celeste","2.8"
"104","319","Introduction to Statistical Analysis in the Social Sciences","ANTH","3","TBA ","Gabriella Celeste","2.8"
"105","325","Economic Anthropology","ANTH","3","TuTh 11:30 AM - 12:45 PM","Lawrence Greksa","3.9"
"106","328","Medical Anthropology and Public Health","ANTH","3","MW 3:20 PM - 4:35 PM","Lee Hoffer","5.0"
"107","331","The Most Ancient Near East","ANTH","3","MWF 10:35 AM - 11:25 AM","Megan Schmidt-Sane",NA
"108","337","Comparative Medical Systems","ANTH","3","TuTh 2:30 PM - 3:45 PM","Jim Shaffer","3.4"
"109","339","Ethnographic and Qualitative Research Methods","ANTH","3","TuTh 1:00 PM - 2:15 PM","Atwood Gaines","3.1"
"110","354","Health and Healing in East Asia","ANTH","3","MW 12:45 PM - 2:00 PM","Lee Hoffer","5.0"
"111","359","Introduction to Global Health","ANTH","3","MWF 9:30 AM - 10:20 AM","Yan Zhang",NA
"112","365","Gender and Sex Differences: Cross-cultural Perspective","ANTH","3","MWF 11:40 AM - 12:30 PM","Janet Mc Grath",NA
"113","367","Topics in Evolutionary Biology","ANTH","3","TuTh 11:30 AM - 12:45 PM","Eli Thorkelson","2.0"
"114","372","Anthropological Approaches to Religion","ANTH","3","Th 7:00 PM - 9:30 PM","Patricia Princehouse","3.2"
"115","379","Topics in Cultural and Social Anthropology","ANTH","3","TuTh 10:00 AM - 11:15 AM","Atwood Gaines","3.1"
"116","380","Independent Study in Laboratory Archaeology I","ANTH","3","TuTh 1:00 PM - 2:15 PM","Sara Thiam","2.2"
"117","382","Anthropological and Ecological Perspectives on Preserving and Restoring the Natural World","ANTH","3","TBA ","Brian Redmond",NA
"118","391","Honors Tutorial","ANTH","3","TuTh 2:30 PM - 3:45 PM","Richard Smith","4.2"
"119","391","Honors Tutorial","ANTH","3","TBA ","Cynthia Beall","2.5"
"120","391","Honors Tutorial","ANTH","3","TBA ","Atwood Gaines","3.1"
"121","391","Honors Tutorial","ANTH","3","TBA ","Melvyn Goldstein","3.0"
"122","391","Honors Tutorial","ANTH","3","TBA ","Lawrence Greksa","3.9"
"123","391","Honors Tutorial","ANTH","3","TBA ","Lee Hoffer","5.0"
"124","391","Honors Tutorial","ANTH","3","TBA ","Jill Korbin",NA
"125","391","Honors Tutorial","ANTH","3","TBA ","Janet Mc Grath",NA
"126","391","Honors Tutorial","ANTH","3","TBA ","Jim Shaffer","3.4"
"127","391","Honors Tutorial","ANTH","3","TBA ","Yohannes Ambaye",NA
"128","392","Honors Tutorial","ANTH","3","TBA ","Lihong Shi","4.4"
"129","392","Honors Tutorial","ANTH","3","TBA ","Cynthia Beall","2.5"
"130","392","Honors Tutorial","ANTH","3","TBA ","Atwood Gaines","3.1"
"131","392","Honors Tutorial","ANTH","3","TBA ","Melvyn Goldstein","3.0"
"132","392","Honors Tutorial","ANTH","3","TBA ","Lawrence Greksa","3.9"
"133","392","Honors Tutorial","ANTH","3","TBA ","Lee Hoffer","5.0"
"134","392","Honors Tutorial","ANTH","3","TBA ","Jill Korbin",NA
"135","392","Honors Tutorial","ANTH","3","TBA ","Janet Mc Grath",NA
"136","392","Honors Tutorial","ANTH","3","TBA ","Jim Shaffer","3.4"
"137","392","Honors Tutorial","ANTH","3","TBA ","Yohannes Ambaye",NA
"138","392","Honors Tutorial","ANTH","3","TBA ","Lihong Shi","4.4"
"139","396","Undergraduate Research in Evolutionary Biology","ANTH","3","TBA ","Scott Simpson","5.0"
"140","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Cynthia Beall","2.5"
"141","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Cynthia Beall","2.5"
"142","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Lawrence Greksa","3.9"
"143","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Melvyn Goldstein","3.0"
"144","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Jim Shaffer","3.4"
"145","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Sara Thiam","2.2"
"146","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Atwood Gaines","3.1"
"147","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Jill Korbin",NA
"148","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Janet Mc Grath",NA
"149","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Brian Redmond",NA
"150","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Scott Simpson","5.0"
"151","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Lee Hoffer","5.0"
"152","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Yohannes Ambaye",NA
"153","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Gabriella Celeste","2.8"
"154","398","Anthropology SAGES Capstone","ANTH","3","TBA ","Katia Almeida","4.6"
"155","398C","Child Policy Externship and Capstone","ANTH","3","TBA ","Lihong Shi","4.4"
"156","399","Independent Study","ANTH","6","TBA ","Gabriella Celeste","2.8"
"157","399","Independent Study","ANTH","6","TBA ","Cynthia Beall","2.5"
"158","399","Independent Study","ANTH","6","TBA ","Atwood Gaines","3.1"
"159","399","Independent Study","ANTH","6","TBA ","Melvyn Goldstein","3.0"
"160","399","Independent Study","ANTH","6","TBA ","Lawrence Greksa","3.9"
"161","399","Independent Study","ANTH","6","TBA ","Jill Korbin",NA
"162","399","Independent Study","ANTH","6","TBA ","Janet Mc Grath",NA
"163","399","Independent Study","ANTH","6","TBA ","Jim Shaffer","3.4"
"164","399","Independent Study","ANTH","6","TBA ","Scott Simpson","5.0"
"165","399","Independent Study","ANTH","6","TBA ","Lee Hoffer","5.0"
"166","399","Independent Study","ANTH","6","TBA ","Katia Almeida","4.6"
"167","399","Independent Study","ANTH","6","TBA ","Brian Redmond",NA
"168","399","Independent Study","ANTH","6","TBA ","Yohannes Ambaye",NA
"169","399","Independent Study","ANTH","6","TBA ","Lihong Shi","4.4"
"170","402","Darwinian Medicine","ANTH","3","TBA ","Bridget Haas","4.5"
"171","425","Economic Anthropology","ANTH","3","TuTh 11:30 AM - 12:45 PM","Nicole Burt","2.5"
"172","428","Medical Anthropology and Public Health","ANTH","3","MW 3:20 PM - 4:35 PM","Lee Hoffer","5.0"
"173","437","Comparative Medical Systems","ANTH","3","MWF 10:35 AM - 11:25 AM","Janet Mc Grath",NA
"174","439","Ethnographic and Qualitative Research Methods","ANTH","3","TuTh 1:00 PM - 2:15 PM","Atwood Gaines","3.1"
"175","459","Introduction to Global Health","ANTH","3","MW 12:45 PM - 2:00 PM","Lee Hoffer","5.0"
"176","465","Gender and Sex Differences: Cross-cultural Perspective","ANTH","3","MWF 11:40 AM - 12:30 PM","Janet Mc Grath",NA
"177","467","Topics in Evolutionary Biology","ANTH","3","TuTh 11:30 AM - 12:45 PM","Eli Thorkelson","2.0"
"178","472","Anthropological Approaches to Religion","ANTH","3","Th 7:00 PM - 9:30 PM","Patricia Princehouse","3.2"
"179","479","Topics in Cultural and Social Anthropology","ANTH","3","TuTh 10:00 AM - 11:15 AM","Atwood Gaines","3.1"
"180","480","Medical Anthropology and Global Health I","ANTH","3","TuTh 1:00 PM - 2:15 PM","Sara Thiam","2.2"
"181","480B","Medical Anthropology and Global Health I Recitation","ANTH","1","WF 3:20 PM - 5:20 PM","Lawrence Greksa","3.9"
"182","482","Anthropological and Ecological Perspectives on Preserving and Restoring the Natural World","ANTH","3","TBA ","Janet Mc Grath",NA
"183","599","Tutorial: Advanced Studies in Anthropology","ANTH","18","TuTh 2:30 PM - 3:45 PM","Richard Smith","4.2"
"184","599","Tutorial: Advanced Studies in Anthropology","ANTH","18","TBA ","Cynthia Beall","2.5"
"185","599","Tutorial: Advanced Studies in Anthropology","ANTH","18","TBA ","Atwood Gaines","3.1"
"186","599","Tutorial: Advanced Studies in Anthropology","ANTH","18","TBA ","Melvyn Goldstein","3.0"
"187","599","Tutorial: Advanced Studies in Anthropology","ANTH","18","TBA ","Lawrence Greksa","3.9"
"188","599","Tutorial: Advanced Studies in Anthropology","ANTH","18","TBA ","Jill Korbin",NA
"189","599","Tutorial: Advanced Studies in Anthropology","ANTH","18","TBA ","Janet Mc Grath",NA
"190","599","Tutorial: Advanced Studies in Anthropology","ANTH","18","TBA ","Lee Hoffer","5.0"
"191","599","Tutorial: Advanced Studies in Anthropology","ANTH","18","TBA ","Katia Almeida","4.6"
"192","599","Tutorial: Advanced Studies in Anthropology","ANTH","18","TBA ","Lihong Shi","4.4"
"193","601","Independent Research","ANTH","18","TBA ","Gabriella Celeste","2.8"
"194","601","Independent Research","ANTH","18","TBA ","Cynthia Beall","2.5"
"195","601","Independent Research","ANTH","18","TBA ","Atwood Gaines","3.1"
"196","601","Independent Research","ANTH","18","TBA ","Melvyn Goldstein","3.0"
"197","601","Independent Research","ANTH","18","TBA ","Lawrence Greksa","3.9"
"198","601","Independent Research","ANTH","18","TBA ","Jill Korbin",NA
"199","601","Independent Research","ANTH","18","TBA ","Janet Mc Grath",NA
"200","601","Independent Research","ANTH","18","TBA ","Lee Hoffer","5.0"
"201","601","Independent Research","ANTH","18","TBA ","Yohannes Ambaye",NA
"202","701","Dissertation Ph.D.","ANTH","9","TBA ","Lihong Shi","4.4"
"203","701","Dissertation Ph.D.","ANTH","9","TBA ","Cynthia Beall","2.5"
"204","701","Dissertation Ph.D.","ANTH","9","TBA ","Atwood Gaines","3.1"
"205","701","Dissertation Ph.D.","ANTH","9","TBA ","Melvyn Goldstein","3.0"
"206","701","Dissertation Ph.D.","ANTH","9","TBA ","Lawrence Greksa","3.9"
"207","701","Dissertation Ph.D.","ANTH","9","TBA ","Jill Korbin",NA
"208","701","Dissertation Ph.D.","ANTH","9","TBA ","Janet Mc Grath",NA
"209","701","Dissertation Ph.D.","ANTH","9","TBA ","Lee Hoffer","5.0"
"210","101","Beginning Arabic I","ARAB","4","TBA ","Lihong Shi","4.4"
"211","101","Beginning Arabic I","ARAB","4","MWF 10:35 AM - 11:25 AM","Ramez Islambouli","4.7"
"212","201","Intermediate Arabic I","ARAB","4","TBA ","Ramez Islambouli","4.7"
"213","201","Intermediate Arabic I","ARAB","4","MWF 11:40 AM - 12:30 PM","Ramez Islambouli","4.7"
"214","301","Advanced Arabic I","ARAB","3","TBA ","Ramez Islambouli","4.7"
"215","337","Women in the Arab World","ARAB","3","MW 12:45 PM - 2:00 PM","Ramez Islambouli","4.7"
"216","399","Independent Study in Arabic","ARAB","3","MWF 10:35 AM - 11:25 AM","Lilas Al Dakr",NA
"217","101","Art History I: Pyramids to Pagodas","ARTH","3","TBA ","Ramez Islambouli","4.7"
"218","101","Art History I: Pyramids to Pagodas","ARTH","3","MW 10:35 AM - 11:25 AM","Maggie Popkin","3.5"
"219","101","Art History I: Pyramids to Pagodas","ARTH","3","F 10:35 AM - 11:25 AM","Maggie Popkin","3.5"
"220","203","The Arts of Asia","ARTH","3","F 10:35 AM - 11:25 AM","Maggie Popkin","3.5"
"221","260","Art in Early Modern Europe","ARTH","3","TuTh 11:30 AM - 12:45 PM","Eunyoung Park","5.0"
"222","325","Art at the Crossroads of Religion: Polytheistic, Christian, and Islamic Art in Antiquity","ARTH","3","TuTh 1:00 PM - 2:15 PM","Catherine Scallen","4.3"
"223","336","Representations of War in Ancient Rome","ARTH","3","MW 4:50 PM - 6:05 PM","Elizabeth Bolman",NA
"224","356","Medieval Matters: The Monstrous, the Macabre, the Miraculous","ARTH","3","MW 12:45 PM - 2:00 PM","Maggie Popkin","3.5"
"225","367","17th and 18th Century Art in France","ARTH","3","TuTh 1:00 PM - 2:15 PM","Elina Gertsman","2.8"
"226","368","Doors Wide Shut: The Private Art Collection from Raphael to Rauschenberg","ARTH","3","TuTh 10:00 AM - 11:15 AM","Catherine Scallen","4.3"
"227","395","Internship","ARTH","3","TuTh 2:30 PM - 3:45 PM","Erin Benay","4.7"
"228","397","Contemporary Art in East Asia","ARTH","3","TBA ","Andrea Rager","4.1"
"229","398","Independent Study in Art History","ARTH","3","TuTh 4:00 PM - 5:15 PM","Eunyoung Park","5.0"
"230","398","Independent Study in Art History","ARTH","3","TBA ","Henry Adams","3.1"
"231","398","Independent Study in Art History","ARTH","3","TBA ","Erin Benay","4.7"
"232","398","Independent Study in Art History","ARTH","3","TBA ","Maggie Popkin","3.5"
"233","398","Independent Study in Art History","ARTH","3","TBA ","Elizabeth Bolman",NA
"234","398","Independent Study in Art History","ARTH","3","TBA ","Elina Gertsman","2.8"
"235","398","Independent Study in Art History","ARTH","3","TBA ","Catherine Scallen","4.3"
"236","399","Honors Thesis","ARTH","3","TBA ","Andrea Rager","4.1"
"237","399","Honors Thesis","ARTH","3","TBA ","Elina Gertsman","2.8"
"238","399","Honors Thesis","ARTH","3","TBA ","Henry Adams","3.1"
"239","399","Honors Thesis","ARTH","3","TBA ","Erin Benay","4.7"
"240","399","Honors Thesis","ARTH","3","TBA ","Elizabeth Bolman",NA
"241","399","Honors Thesis","ARTH","3","TBA ","Andrea Rager","4.1"
"242","399","Honors Thesis","ARTH","3","TBA ","Maggie Popkin","3.5"
"243","425","Art at the Crossroads of Religion: Polytheistic, Christian, and Islamic Art in Antiquity","ARTH","3","TBA ","Catherine Scallen","4.3"
"244","436","Representations of War in Ancient Rome","ARTH","3","MW 4:50 PM - 6:05 PM","Elizabeth Bolman",NA
"245","456","Medieval Matters: The Monstrous, the Macabre, the Miraculous","ARTH","3","MW 12:45 PM - 2:00 PM","Maggie Popkin","3.5"
"246","467","17th and 18th Century Art in France","ARTH","3","TuTh 1:00 PM - 2:15 PM","Elina Gertsman","2.8"
"247","468","Doors Wide Shut: The Private Art Collection from Raphael to Rauschenberg","ARTH","3","TuTh 10:00 AM - 11:15 AM","Catherine Scallen","4.3"
"248","489","M.A. Qualifying Paper","ARTH","3","TuTh 2:30 PM - 3:45 PM","Erin Benay","4.7"
"249","489","M.A. Qualifying Paper","ARTH","3","TBA ","Henry Adams","3.1"
"250","489","M.A. Qualifying Paper","ARTH","3","TBA ","Erin Benay","4.7"
"251","489","M.A. Qualifying Paper","ARTH","3","TBA ","Elizabeth Bolman",NA
"252","489","M.A. Qualifying Paper","ARTH","3","TBA ","Maggie Popkin","3.5"
"253","489","M.A. Qualifying Paper","ARTH","3","TBA ","Andrea Rager","4.1"
"254","489","M.A. Qualifying Paper","ARTH","3","TBA ","Catherine Scallen","4.3"
"255","489","M.A. Qualifying Paper","ARTH","3","TBA ","Elizabeth Bolman",NA
"256","490A","Visual Arts and Museums I","ARTH","3","TBA ","Elina Gertsman","2.8"
"257","491A","Visual Arts and Museums: Internship","ARTH","1","F 10:00 AM - 12:30 PM","Holly Witchey",NA
"258","491B","Visual Arts and Museums: Internship","ARTH","3","TBA ","Holly Witchey",NA
"259","494A","Directed Readings in Asian Art","ARTH","3","TBA ","Holly Witchey",NA
"260","494B","Ancient Art","ARTH","3","TBA ","Staff",NA
"261","494C","Medieval Art","ARTH","3","TBA ","Maggie Popkin","3.5"
"262","494C","Medieval Art","ARTH","3","TBA ","Elina Gertsman","2.8"
"263","494D","Renaissance and Baroque Art","ARTH","3","TBA ","Elizabeth Bolman",NA
"264","494D","Renaissance and Baroque Art","ARTH","3","TBA ","Catherine Scallen","4.3"
"265","494E","American Art","ARTH","3","TBA ","Erin Benay","4.7"
"266","494F","Modern Art","ARTH","3","TBA ","Henry Adams","3.1"
"267","495","Methodologies of Art History","ARTH","3","TBA ","Andrea Rager","4.1"
"268","497","Contemporary Art in East Asia","ARTH","3","Tu 10:00 AM - 12:30 PM","Elina Gertsman","2.8"
"269","565","Seminar in American Art","ARTH","3","TuTh 4:00 PM - 5:15 PM","Eunyoung Park","5.0"
"270","570","Seminar: 19th Century Art","ARTH","3","M 10:30 AM - 1:00 PM","Henry Adams","3.1"
"271","601","Research in Art History","ARTH","18","W 10:35 AM - 1:05 PM","Andrea Rager","4.1"
"272","601","Research in Art History","ARTH","18","TBA ","Henry Adams","3.1"
"273","601","Research in Art History","ARTH","18","TBA ","Elina Gertsman","2.8"
"274","601","Research in Art History","ARTH","18","TBA ","Erin Benay","4.7"
"275","601","Research in Art History","ARTH","18","TBA ","Elizabeth Bolman",NA
"276","601","Research in Art History","ARTH","18","TBA ","Maggie Popkin","3.5"
"277","610A","Advanced Visual Arts and Museums: Internship I","ARTH","3","TBA ","Catherine Scallen","4.3"
"278","610A","Advanced Visual Arts and Museums: Internship I","ARTH","3","TBA ","Elina Gertsman","2.8"
"279","610A","Advanced Visual Arts and Museums: Internship I","ARTH","3","TBA ","Staff",NA
"280","610A","Advanced Visual Arts and Museums: Internship I","ARTH","3","TBA ","Henry Adams","3.1"
"281","610A","Advanced Visual Arts and Museums: Internship I","ARTH","3","TBA ","Erin Benay","4.7"
"282","610A","Advanced Visual Arts and Museums: Internship I","ARTH","3","TBA ","Maggie Popkin","3.5"
"283","610A","Advanced Visual Arts and Museums: Internship I","ARTH","3","TBA ","Andrea Rager","4.1"
"284","610A","Advanced Visual Arts and Museums: Internship I","ARTH","3","TBA ","Catherine Scallen","4.3"
"285","701","Dissertation Ph.D.","ARTH","9","TBA ","Elizabeth Bolman",NA
"286","701","Dissertation Ph.D.","ARTH","9","TBA ","Henry Adams","3.1"
"287","701","Dissertation Ph.D.","ARTH","9","TBA ","Maggie Popkin","3.5"
"288","701","Dissertation Ph.D.","ARTH","9","TBA ","Catherine Scallen","4.3"
